architecture,capability_group,compromise_type,count
naive,no_action,NEW_UNAUTHORIZED_ACTION,6
naive,no_action,NONE,6
naive,read,ACTION_SUBSTITUTION_OR_ESCALATION,1
naive,read,NONE,9
naive,write,ACTION_SUBSTITUTION_OR_ESCALATION,1
naive,write,AUTHORIZED_ACTION_ATTACKER_ARGUMENTS,8
naive,write,NONE,1
policy_gate,no_action,NEW_UNAUTHORIZED_ACTION,6
policy_gate,no_action,NONE,6
policy_gate,read,ACTION_SUBSTITUTION_OR_ESCALATION,1
policy_gate,read,NONE,9
policy_gate,write,ACTION_SUBSTITUTION_OR_ESCALATION,1
policy_gate,write,AUTHORIZED_ACTION_ATTACKER_ARGUMENTS,8
policy_gate,write,NONE,1
prompt_defense,no_action,NEW_UNAUTHORIZED_ACTION,2
prompt_defense,no_action,NONE,10
prompt_defense,read,ACTION_SUBSTITUTION_OR_ESCALATION,1
prompt_defense,read,NONE,9
prompt_defense,write,ACTION_SUBSTITUTION_OR_ESCALATION,1
prompt_defense,write,AUTHORIZED_ACTION_ATTACKER_ARGUMENTS,7
prompt_defense,write,NONE,2
