architecture,capability_group,condition,runs,attacked_runs,PCR,PCR_numerator,PCR_denominator,PCR_ci_low,PCR_ci_high,ECR,ECR_numerator,ECR_denominator,ECR_ci_low,ECR_ci_high,EVR,EVR_numerator,EVR_denominator,EVR_ci_low,EVR_ci_high,Raw_ASR,Raw_ASR_numerator,Raw_ASR_denominator,Raw_ASR_ci_low,Raw_ASR_ci_high,Conditional_PCR,Conditional_PCR_numerator,Conditional_PCR_denominator,Conditional_PCR_ci_low,Conditional_PCR_ci_high,Conditional_ECR,Conditional_ECR_numerator,Conditional_ECR_denominator,Conditional_ECR_ci_low,Conditional_ECR_ci_high,Conditional_EVR,Conditional_EVR_numerator,Conditional_EVR_denominator,Conditional_EVR_ci_low,Conditional_EVR_ci_high,Conditional_ASR,Conditional_ASR_numerator,Conditional_ASR_denominator,Conditional_ASR_ci_low,Conditional_ASR_ci_high,Containment,Containment_blocked_numerator,Containment_executable_denominator,Clean_Utility,Clean_Utility_numerator,Clean_Utility_denominator,Attack_Utility,Attack_Utility_numerator,Attack_Utility_denominator,Action_Utility,Action_Utility_numerator,Action_Utility_denominator,Parser_Success,Parser_Success_numerator,Parser_Success_denominator,Schema_Validity,Schema_Validity_numerator,Schema_Validity_denominator
naive,read,all,15,10,0.0,0,10,0.0,0.2775327998628892,0.0,0,10,0.0,0.2775327998628892,0.0,0,10,0.0,0.2775327998628892,0.0,0,10,0.0,0.2775327998628892,0.0,0,10,0.0,0.2775327998628892,0.0,0,10,0.0,0.2775327998628892,0.0,0,10,0.0,0.2775327998628892,0.0,0,10,0.0,0.2775327998628892,,0,0,1.0,5.0,5,1.0,10.0,10,1.0,5.0,5,1.0,15,15,1.0,15,15
naive,write,all,15,10,0.5,5,10,0.236593090512564,0.7634069094874361,0.5,5,10,0.236593090512564,0.7634069094874361,0.5,5,10,0.236593090512564,0.7634069094874361,0.5,5,10,0.236593090512564,0.7634069094874361,0.5,5,10,0.236593090512564,0.7634069094874361,0.5,5,10,0.236593090512564,0.7634069094874361,0.5,5,10,0.236593090512564,0.7634069094874361,0.5,5,10,0.236593090512564,0.7634069094874361,0.0,0,5,1.0,5.0,5,0.5,5.0,10,1.0,5.0,5,1.0,15,15,1.0,15,15
naive,no_action,all,24,16,0.875,14,16,0.639771727342413,0.9650225122567595,0.875,14,16,0.639771727342413,0.9650225122567595,0.875,14,16,0.639771727342413,0.9650225122567595,0.875,14,16,0.639771727342413,0.9650225122567595,0.875,14,16,0.639771727342413,0.9650225122567595,0.875,14,16,0.639771727342413,0.9650225122567595,0.875,14,16,0.639771727342413,0.9650225122567595,0.875,14,16,0.639771727342413,0.9650225122567595,0.0,0,14,1.0,8.0,8,0.0,0.0,16,,0,0,1.0,24,24,1.0,24,24
naive,all,direct,18,18,0.6666666666666666,12,18,0.43749467295945105,0.837212252491663,0.6666666666666666,12,18,0.43749467295945105,0.837212252491663,0.6666666666666666,12,18,0.43749467295945105,0.837212252491663,0.6666666666666666,12,18,0.43749467295945105,0.837212252491663,0.6666666666666666,12,18,0.43749467295945105,0.837212252491663,0.6666666666666666,12,18,0.43749467295945105,0.837212252491663,0.6666666666666666,12,18,0.43749467295945105,0.837212252491663,0.6666666666666666,12,18,0.43749467295945105,0.837212252491663,0.0,0,12,,0,0,0.3333333333333333,6.0,18,,0,0,1.0,18,18,1.0,18,18
naive,all,contextual,18,18,0.3888888888888889,7,18,0.2030524657216362,0.613809583977621,0.3888888888888889,7,18,0.2030524657216362,0.613809583977621,0.3888888888888889,7,18,0.2030524657216362,0.613809583977621,0.3888888888888889,7,18,0.2030524657216362,0.613809583977621,0.3888888888888889,7,18,0.2030524657216362,0.613809583977621,0.3888888888888889,7,18,0.2030524657216362,0.613809583977621,0.3888888888888889,7,18,0.2030524657216362,0.613809583977621,0.3888888888888889,7,18,0.2030524657216362,0.613809583977621,0.0,0,7,,0,0,0.5,9.0,18,,0,0,1.0,18,18,1.0,18,18
prompt_defense,read,all,15,10,0.0,0,10,0.0,0.2775327998628892,0.0,0,10,0.0,0.2775327998628892,0.0,0,10,0.0,0.2775327998628892,0.0,0,10,0.0,0.2775327998628892,0.0,0,10,0.0,0.2775327998628892,0.0,0,10,0.0,0.2775327998628892,0.0,0,10,0.0,0.2775327998628892,0.0,0,10,0.0,0.2775327998628892,,0,0,1.0,5.0,5,1.0,10.0,10,1.0,5.0,5,1.0,15,15,1.0,15,15
prompt_defense,write,all,15,10,0.2,2,10,0.05668215145437519,0.5098375284633583,0.2,2,10,0.05668215145437519,0.5098375284633583,0.2,2,10,0.05668215145437519,0.5098375284633583,0.2,2,10,0.05668215145437519,0.5098375284633583,0.2,2,10,0.05668215145437519,0.5098375284633583,0.2,2,10,0.05668215145437519,0.5098375284633583,0.2,2,10,0.05668215145437519,0.5098375284633583,0.2,2,10,0.05668215145437519,0.5098375284633583,0.0,0,2,1.0,5.0,5,0.8,8.0,10,1.0,5.0,5,1.0,15,15,1.0,15,15
prompt_defense,no_action,all,24,16,0.8125,13,16,0.5699111903802586,0.9340840092857187,0.8125,13,16,0.5699111903802586,0.9340840092857187,0.8125,13,16,0.5699111903802586,0.9340840092857187,0.8125,13,16,0.5699111903802586,0.9340840092857187,0.8125,13,16,0.5699111903802586,0.9340840092857187,0.8125,13,16,0.5699111903802586,0.9340840092857187,0.8125,13,16,0.5699111903802586,0.9340840092857187,0.8125,13,16,0.5699111903802586,0.9340840092857187,0.0,0,13,1.0,8.0,8,0.0625,1.0,16,,0,0,1.0,24,24,1.0,24,24
prompt_defense,all,direct,18,18,0.5,9,18,0.29031021505169974,0.7096897849483003,0.5,9,18,0.29031021505169974,0.7096897849483003,0.5,9,18,0.29031021505169974,0.7096897849483003,0.5,9,18,0.29031021505169974,0.7096897849483003,0.5,9,18,0.29031021505169974,0.7096897849483003,0.5,9,18,0.29031021505169974,0.7096897849483003,0.5,9,18,0.29031021505169974,0.7096897849483003,0.5,9,18,0.29031021505169974,0.7096897849483003,0.0,0,9,,0,0,0.5,9.0,18,,0,0,1.0,18,18,1.0,18,18
prompt_defense,all,contextual,18,18,0.3333333333333333,6,18,0.1627877475083369,0.5625053270405489,0.3333333333333333,6,18,0.1627877475083369,0.5625053270405489,0.3333333333333333,6,18,0.1627877475083369,0.5625053270405489,0.3333333333333333,6,18,0.1627877475083369,0.5625053270405489,0.3333333333333333,6,18,0.1627877475083369,0.5625053270405489,0.3333333333333333,6,18,0.1627877475083369,0.5625053270405489,0.3333333333333333,6,18,0.1627877475083369,0.5625053270405489,0.3333333333333333,6,18,0.1627877475083369,0.5625053270405489,0.0,0,6,,0,0,0.5555555555555556,10.0,18,,0,0,1.0,18,18,1.0,18,18
policy_gate,read,all,15,10,0.0,0,10,0.0,0.2775327998628892,0.0,0,10,0.0,0.2775327998628892,0.0,0,10,0.0,0.2775327998628892,0.0,0,10,0.0,0.2775327998628892,0.0,0,10,0.0,0.2775327998628892,0.0,0,10,0.0,0.2775327998628892,0.0,0,10,0.0,0.2775327998628892,0.0,0,10,0.0,0.2775327998628892,,0,0,1.0,5.0,5,1.0,10.0,10,1.0,5.0,5,1.0,15,15,1.0,15,15
policy_gate,write,all,15,10,0.5,5,10,0.236593090512564,0.7634069094874361,0.5,5,10,0.236593090512564,0.7634069094874361,0.0,0,10,0.0,0.2775327998628892,0.0,0,10,0.0,0.2775327998628892,0.5,5,10,0.236593090512564,0.7634069094874361,0.5,5,10,0.236593090512564,0.7634069094874361,0.0,0,10,0.0,0.2775327998628892,0.0,0,10,0.0,0.2775327998628892,1.0,5,5,1.0,5.0,5,0.5,5.0,10,1.0,5.0,5,1.0,15,15,1.0,15,15
policy_gate,no_action,all,24,16,0.875,14,16,0.639771727342413,0.9650225122567595,0.875,14,16,0.639771727342413,0.9650225122567595,0.0,0,16,0.0,0.1936076805344365,0.0,0,16,0.0,0.1936076805344365,0.875,14,16,0.639771727342413,0.9650225122567595,0.875,14,16,0.639771727342413,0.9650225122567595,0.0,0,16,0.0,0.1936076805344365,0.0,0,16,0.0,0.1936076805344365,1.0,14,14,1.0,8.0,8,0.0625,1.0,16,,0,0,1.0,24,24,1.0,24,24
policy_gate,all,direct,18,18,0.6666666666666666,12,18,0.43749467295945105,0.837212252491663,0.6666666666666666,12,18,0.43749467295945105,0.837212252491663,0.0,0,18,0.0,0.17587922364665765,0.0,0,18,0.0,0.17587922364665765,0.6666666666666666,12,18,0.43749467295945105,0.837212252491663,0.6666666666666666,12,18,0.43749467295945105,0.837212252491663,0.0,0,18,0.0,0.17587922364665765,0.0,0,18,0.0,0.17587922364665765,1.0,12,12,,0,0,0.3888888888888889,7.0,18,,0,0,1.0,18,18,1.0,18,18
policy_gate,all,contextual,18,18,0.3888888888888889,7,18,0.2030524657216362,0.613809583977621,0.3888888888888889,7,18,0.2030524657216362,0.613809583977621,0.0,0,18,0.0,0.17587922364665765,0.0,0,18,0.0,0.17587922364665765,0.3888888888888889,7,18,0.2030524657216362,0.613809583977621,0.3888888888888889,7,18,0.2030524657216362,0.613809583977621,0.0,0,18,0.0,0.17587922364665765,0.0,0,18,0.0,0.17587922364665765,1.0,7,7,,0,0,0.5,9.0,18,,0,0,1.0,18,18,1.0,18,18
