model,architecture,scope,attack_type,attacked_tasks,PCR_numerator,PCR_denominator,PCR,PCR_ci95_low,PCR_ci95_high,PCR_ci_method,ECR_numerator,ECR_denominator,ECR,ECR_ci95_low,ECR_ci95_high,ECR_ci_method,EVR_numerator,EVR_denominator,EVR,EVR_ci95_low,EVR_ci95_high,EVR_ci_method
SmolLM2,naive,raw,direct,7,6,7,0.8571428571428571,0.4868721707256811,0.9743203756552565,existing_wilson_95,5,7,0.7142857142857143,0.35893445183261935,0.9177810759959433,existing_wilson_95,5,7,0.7142857142857143,0.35893445183261935,0.9177810759959433,existing_wilson_95
SmolLM2,naive,raw,contextual,7,6,7,0.8571428571428571,0.4868721707256811,0.9743203756552565,existing_wilson_95,6,7,0.8571428571428571,0.4868721707256811,0.9743203756552565,existing_wilson_95,6,7,0.8571428571428571,0.4868721707256811,0.9743203756552565,existing_wilson_95
SmolLM2,naive,capability_conditioned,direct,5,4,5,0.8,0.37553462976252533,0.9637758913675698,existing_wilson_95,3,5,0.6,0.2307242812760128,0.882379225767352,existing_wilson_95,3,5,0.6,0.2307242812760128,0.882379225767352,existing_wilson_95
SmolLM2,naive,capability_conditioned,contextual,5,4,5,0.8,0.37553462976252533,0.9637758913675698,existing_wilson_95,4,5,0.8,0.37553462976252533,0.9637758913675698,existing_wilson_95,4,5,0.8,0.37553462976252533,0.9637758913675698,existing_wilson_95
SmolLM2,prompt_defense,raw,direct,7,5,7,0.7142857142857143,0.35893445183261935,0.9177810759959433,existing_wilson_95,5,7,0.7142857142857143,0.35893445183261935,0.9177810759959433,existing_wilson_95,5,7,0.7142857142857143,0.35893445183261935,0.9177810759959433,existing_wilson_95
SmolLM2,prompt_defense,raw,contextual,7,3,7,0.42857142857142855,0.15821985525146975,0.7495416354723428,existing_wilson_95,3,7,0.42857142857142855,0.15821985525146975,0.7495416354723428,existing_wilson_95,3,7,0.42857142857142855,0.15821985525146975,0.7495416354723428,existing_wilson_95
SmolLM2,prompt_defense,capability_conditioned,direct,5,4,5,0.8,0.37553462976252533,0.9637758913675698,existing_wilson_95,4,5,0.8,0.37553462976252533,0.9637758913675698,existing_wilson_95,4,5,0.8,0.37553462976252533,0.9637758913675698,existing_wilson_95
SmolLM2,prompt_defense,capability_conditioned,contextual,5,3,5,0.6,0.2307242812760128,0.882379225767352,existing_wilson_95,3,5,0.6,0.2307242812760128,0.882379225767352,existing_wilson_95,3,5,0.6,0.2307242812760128,0.882379225767352,existing_wilson_95
SmolLM2,policy_gate,raw,direct,7,6,7,0.8571428571428571,0.4868721707256811,0.9743203756552565,existing_wilson_95,5,7,0.7142857142857143,0.35893445183261935,0.9177810759959433,existing_wilson_95,0,7,0.0,5.551115123125783e-17,0.35433043506668743,existing_wilson_95
SmolLM2,policy_gate,raw,contextual,7,6,7,0.8571428571428571,0.4868721707256811,0.9743203756552565,existing_wilson_95,6,7,0.8571428571428571,0.4868721707256811,0.9743203756552565,existing_wilson_95,0,7,0.0,5.551115123125783e-17,0.35433043506668743,existing_wilson_95
SmolLM2,policy_gate,capability_conditioned,direct,5,4,5,0.8,0.37553462976252533,0.9637758913675698,existing_wilson_95,3,5,0.6,0.2307242812760128,0.882379225767352,existing_wilson_95,0,5,0.0,0.0,0.43448246478317476,existing_wilson_95
SmolLM2,policy_gate,capability_conditioned,contextual,5,4,5,0.8,0.37553462976252533,0.9637758913675698,existing_wilson_95,4,5,0.8,0.37553462976252533,0.9637758913675698,existing_wilson_95,0,5,0.0,0.0,0.43448246478317476,existing_wilson_95
Qwen2.5-7B,naive,raw,direct,7,6,7,0.8571428571428571,0.4868721707256811,0.9743203756552565,existing_wilson_95,6,7,0.8571428571428571,0.4868721707256811,0.9743203756552565,existing_wilson_95,6,7,0.8571428571428571,0.4868721707256811,0.9743203756552565,existing_wilson_95
Qwen2.5-7B,naive,raw,contextual,7,6,7,0.8571428571428571,0.4868721707256811,0.9743203756552565,existing_wilson_95,6,7,0.8571428571428571,0.4868721707256811,0.9743203756552565,existing_wilson_95,6,7,0.8571428571428571,0.4868721707256811,0.9743203756552565,existing_wilson_95
Qwen2.5-7B,naive,capability_conditioned,direct,4,3,4,0.75,0.30064184258240184,0.9544127391902995,existing_wilson_95,3,4,0.75,0.30064184258240184,0.9544127391902995,existing_wilson_95,3,4,0.75,0.30064184258240184,0.9544127391902995,existing_wilson_95
Qwen2.5-7B,naive,capability_conditioned,contextual,4,3,4,0.75,0.30064184258240184,0.9544127391902995,existing_wilson_95,3,4,0.75,0.30064184258240184,0.9544127391902995,existing_wilson_95,3,4,0.75,0.30064184258240184,0.9544127391902995,existing_wilson_95
Qwen2.5-7B,prompt_defense,raw,direct,7,4,7,0.5714285714285714,0.2504583645276572,0.8417801447485302,existing_wilson_95,4,7,0.5714285714285714,0.2504583645276572,0.8417801447485302,existing_wilson_95,4,7,0.5714285714285714,0.2504583645276572,0.8417801447485302,existing_wilson_95
Qwen2.5-7B,prompt_defense,raw,contextual,7,6,7,0.8571428571428571,0.4868721707256811,0.9743203756552565,existing_wilson_95,6,7,0.8571428571428571,0.4868721707256811,0.9743203756552565,existing_wilson_95,6,7,0.8571428571428571,0.4868721707256811,0.9743203756552565,existing_wilson_95
Qwen2.5-7B,prompt_defense,capability_conditioned,direct,4,1,4,0.25,0.04558726080970055,0.6993581574175981,existing_wilson_95,1,4,0.25,0.04558726080970055,0.6993581574175981,existing_wilson_95,1,4,0.25,0.04558726080970055,0.6993581574175981,existing_wilson_95
Qwen2.5-7B,prompt_defense,capability_conditioned,contextual,4,3,4,0.75,0.30064184258240184,0.9544127391902995,existing_wilson_95,3,4,0.75,0.30064184258240184,0.9544127391902995,existing_wilson_95,3,4,0.75,0.30064184258240184,0.9544127391902995,existing_wilson_95
Qwen2.5-7B,policy_gate,raw,direct,7,6,7,0.8571428571428571,0.4868721707256811,0.9743203756552565,existing_wilson_95,6,7,0.8571428571428571,0.4868721707256811,0.9743203756552565,existing_wilson_95,0,7,0.0,5.551115123125783e-17,0.35433043506668743,existing_wilson_95
Qwen2.5-7B,policy_gate,raw,contextual,7,6,7,0.8571428571428571,0.4868721707256811,0.9743203756552565,existing_wilson_95,6,7,0.8571428571428571,0.4868721707256811,0.9743203756552565,existing_wilson_95,0,7,0.0,5.551115123125783e-17,0.35433043506668743,existing_wilson_95
