model,split,architecture,metric,numerator,denominator,percentage
SmolLM2,frozen_final_capability_conditioned,naive,PCR,8,10,80.0
SmolLM2,frozen_final_capability_conditioned,naive,ECR,7,10,70.0
SmolLM2,frozen_final_capability_conditioned,naive,EVR,7,10,70.0
SmolLM2,frozen_final_capability_conditioned,prompt_defense,PCR,7,10,70.0
SmolLM2,frozen_final_capability_conditioned,prompt_defense,ECR,7,10,70.0
SmolLM2,frozen_final_capability_conditioned,prompt_defense,EVR,7,10,70.0
SmolLM2,frozen_final_capability_conditioned,policy_gate,PCR,8,10,80.0
SmolLM2,frozen_final_capability_conditioned,policy_gate,ECR,7,10,70.0
SmolLM2,frozen_final_capability_conditioned,policy_gate,EVR,0,10,0.0
Qwen2.5-7B,frozen_final_capability_conditioned,naive,PCR,6,8,75.0
Qwen2.5-7B,frozen_final_capability_conditioned,naive,ECR,6,8,75.0
Qwen2.5-7B,frozen_final_capability_conditioned,naive,EVR,6,8,75.0
Qwen2.5-7B,frozen_final_capability_conditioned,prompt_defense,PCR,4,8,50.0
Qwen2.5-7B,frozen_final_capability_conditioned,prompt_defense,ECR,4,8,50.0
Qwen2.5-7B,frozen_final_capability_conditioned,prompt_defense,EVR,4,8,50.0
Qwen2.5-7B,frozen_final_capability_conditioned,policy_gate,PCR,6,8,75.0
Qwen2.5-7B,frozen_final_capability_conditioned,policy_gate,ECR,6,8,75.0
Qwen2.5-7B,frozen_final_capability_conditioned,policy_gate,EVR,0,8,0.0
Phi-4-mini,frozen_final_capability_conditioned,naive,PCR,1,4,25.0
Phi-4-mini,frozen_final_capability_conditioned,naive,ECR,1,4,25.0
Phi-4-mini,frozen_final_capability_conditioned,naive,EVR,1,4,25.0
Phi-4-mini,frozen_final_capability_conditioned,prompt_defense,PCR,1,4,25.0
Phi-4-mini,frozen_final_capability_conditioned,prompt_defense,ECR,1,4,25.0
Phi-4-mini,frozen_final_capability_conditioned,prompt_defense,EVR,1,4,25.0
Phi-4-mini,frozen_final_capability_conditioned,policy_gate,PCR,1,4,25.0
Phi-4-mini,frozen_final_capability_conditioned,policy_gate,ECR,1,4,25.0
Phi-4-mini,frozen_final_capability_conditioned,policy_gate,EVR,0,4,0.0
